Rank,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP
1,Luis Arraez,SDP,149,687,633,194,33,2,10,88,61,41,42,6,8,2,0.06,0.062,0.106,0.314,0.306,0.352,0.412,0.765,0.332,117,196.3
2,Trea Turner,PHI,150,686,631,175,35,2,23,96,78,42,132,6,24,4,0.061,0.192,0.17,0.316,0.277,0.326,0.447,0.774,0.334,114,25.5
3,Jose Altuve,HOU,150,695,623,167,32,1,22,97,72,57,120,8,19,5,0.08199999999999999,0.172,0.163,0.298,0.268,0.334,0.431,0.766,0.333,120,60.3
4,Marcus Semien,TEX,150,695,623,159,30,3,25,96,73,60,106,5,12,3,0.087,0.153,0.177,0.271,0.255,0.324,0.432,0.756,0.328,114,99.7
5,Ezequiel Tovar,COL,150,662,622,161,36,3,23,78,82,29,170,5,11,4,0.043,0.257,0.18,0.318,0.259,0.295,0.439,0.734,0.315,88,128.7
6,Jarren Duran,BOS,150,688,622,164,39,8,19,98,71,53,158,6,31,6,0.077,0.23,0.181,0.323,0.263,0.325,0.444,0.769,0.332,111,21.5
7,Luis Robert Jr.,CHW,150,674,620,151,31,1,29,84,84,40,193,8,27,7,0.059000000000000004,0.28600000000000003,0.191,0.304,0.244,0.297,0.435,0.732,0.314,104,84.3
8,Bobby Witt Jr.,KCR,150,679,617,182,36,8,31,108,96,50,106,6,36,11,0.07400000000000001,0.156,0.234,0.313,0.296,0.352,0.529,0.881,0.373,142,1.6
9,Masyn Winn,STL,150,676,616,162,31,4,18,87,67,49,113,4,16,4,0.07200000000000001,0.166,0.151,0.294,0.262,0.319,0.414,0.733,0.318,105,147.7
10,Julio Rodríguez,SEA,150,677,613,169,29,2,30,94,88,48,155,9,28,7,0.071,0.23,0.2,0.321,0.275,0.335,0.475,0.81,0.348,135,13.9
11,Steven Kwan,CLE,150,695,612,174,30,4,13,94,62,71,71,6,19,4,0.102,0.102,0.129,0.301,0.284,0.361,0.413,0.774,0.34,124,147.8
12,Yandy Díaz,TBR,150,694,610,177,33,1,20,97,70,70,104,7,3,1,0.10099999999999999,0.15,0.155,0.321,0.29,0.368,0.445,0.813,0.355,138,204.3
13,Lawrence Butler,ATH,149,672,609,156,30,2,29,93,78,53,153,3,21,4,0.079,0.228,0.199,0.294,0.256,0.317,0.455,0.772,0.333,122,67.7
14,Jackson Chourio,MIL,149,668,608,163,31,3,28,94,81,48,136,5,26,7,0.07200000000000001,0.203,0.199,0.301,0.268,0.325,0.467,0.791,0.339,117,16.5
15,Bo Bichette,TOR,144,658,608,170,33,2,21,87,74,39,125,5,11,3,0.059000000000000004,0.18899999999999997,0.164,0.319,0.279,0.325,0.442,0.767,0.331,118,127.3
16,Francisco Lindor,NYM,150,688,608,156,31,2,28,100,81,63,131,10,24,5,0.091,0.19,0.194,0.284,0.257,0.335,0.451,0.786,0.34,122,15.2
17,Fernando Tatis Jr.,SDP,150,679,607,168,34,2,38,106,101,58,142,7,19,5,0.085,0.209,0.25,0.302,0.277,0.345,0.527,0.872,0.372,144,10.6
18,Brenton Doyle,COL,150,660,604,148,26,4,23,83,72,44,186,5,29,7,0.067,0.282,0.173,0.312,0.245,0.3,0.418,0.718,0.311,86,76.6
19,Austin Riley,ATL,150,671,601,160,31,2,32,95,95,55,163,9,2,1,0.08199999999999999,0.243,0.218,0.313,0.267,0.335,0.485,0.821,0.352,126,29.7
20,Bryan Reynolds,PIT,149,675,600,157,29,3,24,90,80,59,150,9,9,3,0.08800000000000001,0.222,0.18,0.309,0.262,0.335,0.442,0.777,0.336,114,98.0
21,José Ramírez,CLE,150,672,599,167,37,2,31,99,95,63,82,4,31,7,0.094,0.122,0.223,0.278,0.279,0.349,0.502,0.851,0.357,136,5.0
22,Gleyber Torres,DET,150,674,599,154,30,1,18,82,67,64,120,4,9,3,0.096,0.17800000000000002,0.146,0.293,0.258,0.332,0.403,0.735,0.323,112,222.9
23,Gunnar Henderson,BAL,150,684,597,164,30,5,34,108,91,75,146,6,18,5,0.109,0.214,0.241,0.307,0.274,0.358,0.515,0.873,0.374,149,6.1
24,Jackson Merrill,SDP,150,641,594,165,31,5,25,80,90,38,106,4,14,4,0.059000000000000004,0.166,0.196,0.3,0.278,0.323,0.474,0.797,0.341,123,25.4
25,Corbin Carroll,ARI,150,682,593,156,27,11,26,106,81,72,126,10,41,9,0.105,0.185,0.212,0.291,0.263,0.35,0.474,0.824,0.356,127,9.3
26,Shohei Ohtani,LAD,150,689,592,166,30,5,43,123,104,85,159,6,34,9,0.124,0.231,0.286,0.311,0.28,0.373,0.566,0.94,0.394,156,1.6
27,Mookie Betts,LAD,150,685,592,164,34,3,29,109,89,80,95,6,15,4,0.11699999999999999,0.138,0.217,0.286,0.278,0.367,0.495,0.862,0.37,140,12.6
28,Elly De La Cruz,CIN,150,664,591,150,31,7,26,93,87,62,192,5,53,15,0.094,0.289,0.206,0.328,0.253,0.327,0.459,0.787,0.338,111,4.5
29,Junior Caminero,TBR,146,643,590,157,26,2,29,80,93,42,138,5,5,2,0.066,0.215,0.2,0.298,0.266,0.318,0.466,0.784,0.336,124,75.1
30,Anthony Santander,TOR,150,659,590,144,30,1,34,85,98,56,136,8,3,1,0.085,0.207,0.228,0.26,0.244,0.316,0.472,0.788,0.338,123,102.6
31,Vladimir Guerrero Jr.,TOR,150,671,589,175,34,1,34,101,101,70,96,7,5,2,0.10400000000000001,0.14300000000000002,0.233,0.305,0.297,0.375,0.531,0.906,0.384,155,14.3
32,Manny Machado,SDP,150,648,589,157,29,1,30,83,97,52,128,3,7,2,0.08,0.198,0.205,0.291,0.266,0.326,0.47,0.796,0.34,122,38.2
33,Rafael Devers,BOS,150,669,588,158,33,3,32,97,96,68,145,7,4,1,0.102,0.21600000000000003,0.231,0.303,0.269,0.349,0.501,0.85,0.359,130,34.7
34,Ketel Marte,ARI,147,669,586,163,33,4,27,100,86,70,121,6,8,2,0.105,0.18100000000000002,0.21,0.307,0.278,0.359,0.488,0.847,0.362,132,32.8
35,Willy Adames,SFG,150,664,586,140,33,1,25,83,80,68,160,4,14,4,0.10300000000000001,0.24,0.187,0.285,0.239,0.32,0.426,0.746,0.324,109,94.3
36,Teoscar Hernández,LAD,150,643,586,151,28,2,30,82,96,46,182,6,8,3,0.07200000000000001,0.28300000000000003,0.205,0.32,0.257,0.316,0.462,0.778,0.334,116,61.3
37,Brent Rooker,ATH,149,665,585,145,26,2,37,93,94,65,199,9,8,3,0.098,0.3,0.238,0.305,0.247,0.329,0.485,0.815,0.349,133,66.9
38,Ian Happ,CHC,150,678,584,143,32,2,23,90,74,81,163,7,13,3,0.11900000000000001,0.24,0.178,0.299,0.245,0.341,0.423,0.764,0.334,117,133.3
39,Alex Bregman,BOS,150,664,584,156,32,3,23,86,87,68,84,7,4,1,0.102,0.127,0.186,0.276,0.267,0.348,0.453,0.801,0.348,122,131.7
40,Taylor Ward,LAA,149,661,584,146,28,2,23,80,80,64,155,8,7,2,0.09699999999999999,0.23399999999999999,0.174,0.299,0.25,0.33,0.424,0.754,0.329,114,183.0
41,Riley Greene,DET,147,664,583,156,30,5,23,89,79,69,159,5,7,2,0.105,0.24,0.189,0.328,0.268,0.349,0.457,0.806,0.348,130,108.4
42,Nolan Arenado,STL,150,637,581,150,29,1,22,73,82,45,99,6,4,1,0.07,0.155,0.167,0.274,0.257,0.314,0.425,0.739,0.319,106,231.4
43,Jurickson Profar,ATL,147,670,581,151,30,1,18,91,68,74,110,9,8,2,0.11,0.165,0.148,0.292,0.26,0.351,0.408,0.759,0.334,113,185.8
44,Ozzie Albies,ATL,150,636,580,154,33,2,22,80,80,43,101,7,12,3,0.068,0.159,0.18,0.286,0.266,0.322,0.446,0.768,0.332,112,67.8
45,Kyle Tucker,CHC,150,669,579,160,32,2,31,101,95,81,104,3,21,4,0.121,0.156,0.226,0.288,0.277,0.366,0.503,0.87,0.371,142,8.2
46,Freddie Freeman,LAD,150,666,578,166,35,2,24,94,92,73,111,9,11,3,0.11,0.16699999999999998,0.194,0.316,0.287,0.373,0.481,0.854,0.366,138,25.9
47,Ryan McMahon,COL,147,655,577,139,29,1,22,79,73,69,188,4,8,3,0.105,0.287,0.167,0.314,0.24,0.323,0.407,0.73,0.319,91,276.6
48,Jung Hoo Lee,SFG,143,632,575,168,35,3,14,75,74,47,62,5,10,3,0.075,0.098,0.144,0.307,0.293,0.349,0.437,0.786,0.34,120,238.6
49,Marcell Ozuna,ATL,150,643,575,149,26,1,33,85,98,60,159,4,1,0,0.09300000000000001,0.247,0.218,0.301,0.26,0.331,0.478,0.809,0.348,122,72.5
50,CJ Abrams,WSN,139,633,574,146,29,5,21,86,66,39,119,13,37,9,0.062,0.188,0.175,0.286,0.255,0.315,0.43,0.745,0.322,106,50.9
51,Jeremy Peña,HOU,150,621,574,151,29,2,17,69,72,32,116,9,16,5,0.052000000000000005,0.187,0.149,0.302,0.264,0.312,0.413,0.724,0.314,107,164.9
52,Andrew Vaughn,CHW,144,630,573,146,30,1,23,71,80,44,128,8,2,1,0.069,0.203,0.179,0.287,0.254,0.314,0.433,0.748,0.324,111,265.5
53,William Contreras,MIL,147,653,573,157,32,2,25,86,86,70,136,5,7,2,0.10800000000000001,0.209,0.189,0.317,0.273,0.355,0.463,0.818,0.353,127,24.2
54,Nick Castellanos,PHI,147,621,572,145,29,2,23,72,81,37,146,6,6,2,0.06,0.235,0.177,0.299,0.253,0.304,0.43,0.734,0.316,102,178.0
55,Jazz Chisholm Jr.,NYY,141,637,572,141,23,3,29,91,78,53,159,6,37,10,0.083,0.25,0.203,0.288,0.247,0.315,0.45,0.765,0.329,115,22.9
56,Salvador Perez,KCR,143,619,572,148,26,1,26,73,87,33,136,10,1,0,0.053,0.21899999999999997,0.184,0.295,0.259,0.309,0.443,0.752,0.321,105,74.6
57,Paul Goldschmidt,NYY,147,642,572,144,29,1,25,80,84,61,167,4,8,2,0.095,0.26,0.182,0.312,0.253,0.327,0.434,0.761,0.33,116,178.3
58,Vinnie Pasquantino,KCR,146,644,572,154,34,2,26,83,89,62,89,6,2,1,0.096,0.139,0.201,0.279,0.27,0.344,0.471,0.815,0.351,126,115.0
59,Pete Alonso,NYM,150,657,571,136,24,1,36,89,100,68,153,12,4,1,0.10300000000000001,0.23399999999999999,0.235,0.258,0.238,0.329,0.473,0.802,0.343,124,51.4
60,Oneil Cruz,PIT,146,639,571,146,30,3,26,81,87,58,185,5,19,5,0.091,0.289,0.203,0.329,0.256,0.328,0.459,0.787,0.338,114,43.0
61,Kyle Schwarber,PHI,150,684,570,129,21,1,40,103,91,101,196,6,6,2,0.14800000000000002,0.287,0.249,0.264,0.227,0.347,0.476,0.823,0.355,128,76.3
62,JJ Bleday,ATH,150,659,570,132,31,2,24,80,79,79,142,5,6,2,0.12,0.21600000000000003,0.186,0.264,0.231,0.327,0.417,0.745,0.325,117,274.5
63,Christian Walker,HOU,150,646,569,138,28,1,32,84,96,64,149,8,5,2,0.1,0.23,0.219,0.271,0.243,0.327,0.462,0.788,0.339,124,95.2
64,Matt Olson,ATL,150,657,568,142,28,1,33,91,99,78,159,6,1,0,0.11900000000000001,0.242,0.23,0.287,0.251,0.345,0.481,0.826,0.354,127,38.7
65,Mark Vientos,NYM,150,628,567,141,26,1,32,80,92,50,177,6,1,0,0.079,0.282,0.22,0.3,0.248,0.313,0.468,0.781,0.335,119,99.6
66,Bryce Harper,PHI,150,662,566,158,36,1,31,94,99,86,143,5,10,3,0.131,0.21600000000000003,0.229,0.321,0.279,0.377,0.509,0.885,0.376,142,22.6
67,Randy Arozarena,SEA,150,652,565,135,28,1,22,77,78,67,167,15,21,8,0.102,0.256,0.171,0.296,0.238,0.332,0.409,0.741,0.326,119,137.2
68,Dansby Swanson,CHC,150,631,565,138,26,2,19,72,73,56,154,4,14,4,0.08800000000000001,0.244,0.156,0.3,0.245,0.315,0.401,0.716,0.312,103,174.9
69,Xander Bogaerts,SDP,149,624,563,151,27,1,17,71,70,50,110,6,13,3,0.08,0.17600000000000002,0.145,0.305,0.269,0.333,0.414,0.747,0.327,113,151.4
70,Matt Chapman,SFG,150,642,562,135,32,2,24,77,83,67,165,8,9,3,0.105,0.257,0.194,0.293,0.24,0.327,0.434,0.761,0.33,114,130.4
71,Michael Harris II,ATL,146,609,562,161,30,4,24,82,86,35,112,6,19,5,0.057999999999999996,0.185,0.195,0.319,0.287,0.334,0.483,0.816,0.35,124,38.5
72,Anthony Volpe,NYY,150,624,561,136,28,4,17,73,67,51,132,6,26,6,0.08199999999999999,0.212,0.158,0.286,0.243,0.31,0.401,0.712,0.31,102,141.3
73,Alec Bohm,PHI,143,610,558,154,33,1,17,71,78,42,94,6,5,2,0.068,0.154,0.155,0.304,0.276,0.331,0.431,0.762,0.33,111,177.6
74,Andrés Giménez,TOR,147,608,555,146,29,2,13,68,65,32,102,15,26,6,0.052000000000000005,0.16699999999999998,0.131,0.299,0.263,0.318,0.394,0.712,0.311,104,170.8
75,Josh Naylor,ARI,141,615,553,148,32,1,24,78,87,51,98,6,7,2,0.083,0.159,0.188,0.286,0.268,0.334,0.456,0.791,0.338,116,106.1
76,George Springer,TOR,141,621,553,135,23,2,22,77,74,56,119,6,13,3,0.091,0.191,0.169,0.271,0.244,0.319,0.413,0.732,0.319,110,242.4
77,Cody Bellinger,NYY,139,610,553,141,25,2,25,76,83,49,111,4,12,3,0.08,0.182,0.186,0.276,0.255,0.318,0.441,0.759,0.326,113,105.3
78,Dylan Crews,WSN,134,608,552,136,27,4,17,75,64,41,134,8,24,7,0.068,0.22,0.154,0.293,0.246,0.306,0.4,0.706,0.308,97,133.9
79,Connor Norby,MIA,136,613,552,134,29,1,18,73,64,50,167,5,10,3,0.08199999999999999,0.273,0.157,0.312,0.243,0.309,0.4,0.709,0.31,95,275.9
80,Xavier Edwards,MIA,136,621,552,156,26,5,6,78,47,60,88,4,34,7,0.096,0.142,0.096,0.325,0.283,0.354,0.378,0.732,0.324,105,151.6
81,Wyatt Langford,TEX,143,620,549,146,29,4,21,78,79,61,122,6,18,5,0.098,0.19699999999999998,0.181,0.305,0.266,0.342,0.447,0.789,0.341,124,44.2
82,Adolis García,TEX,143,605,548,131,26,1,28,74,84,45,167,7,11,3,0.07400000000000001,0.276,0.203,0.287,0.238,0.302,0.442,0.744,0.32,109,153.8
83,Aaron Judge,NYY,150,673,548,151,24,1,47,115,111,112,174,7,8,2,0.16699999999999998,0.258,0.306,0.311,0.275,0.401,0.581,0.982,0.41,172,3.4
84,Jonathan India,KCR,139,635,546,139,30,2,15,84,58,68,121,14,13,3,0.107,0.191,0.146,0.299,0.254,0.349,0.4,0.748,0.331,112,249.4
85,Matt McLain,CIN,138,622,546,142,30,3,25,89,78,61,155,9,18,6,0.099,0.249,0.204,0.316,0.26,0.342,0.464,0.806,0.348,118,96.5
86,Zack Gelof,ATH,146,603,545,123,25,2,21,67,67,48,186,5,23,6,0.079,0.308,0.169,0.298,0.226,0.292,0.395,0.687,0.299,98,211.7
87,Luis Rengifo,LAA,134,595,544,143,24,3,18,75,66,39,98,7,23,7,0.065,0.165,0.152,0.29,0.263,0.318,0.415,0.733,0.319,106,158.1
88,Nathaniel Lowe,WSN,144,620,540,139,25,2,18,71,73,71,137,5,2,1,0.114,0.221,0.152,0.312,0.258,0.347,0.411,0.758,0.333,114,261.3
89,Brendan Donovan,STL,138,611,539,150,27,2,14,77,63,54,82,12,7,2,0.08900000000000001,0.134,0.135,0.304,0.278,0.354,0.413,0.767,0.337,118,236.9
90,Adley Rutschman,BAL,138,620,539,140,27,1,20,84,70,71,97,4,2,1,0.115,0.157,0.165,0.284,0.261,0.349,0.426,0.776,0.338,124,64.9
91,Juan Soto,NYM,150,676,538,152,28,2,35,114,96,128,112,4,9,3,0.18899999999999997,0.166,0.255,0.295,0.282,0.421,0.537,0.958,0.409,169,7.8
92,James Wood,WSN,139,614,536,140,29,3,21,77,77,69,162,4,19,6,0.11199999999999999,0.264,0.185,0.332,0.261,0.347,0.446,0.793,0.344,121,56.9
93,Heliot Ramos,SFG,139,592,536,132,25,4,22,69,73,45,156,5,7,2,0.077,0.263,0.18,0.305,0.247,0.31,0.427,0.737,0.318,106,210.0
94,Yordan Alvarez,HOU,141,624,534,161,32,2,36,98,105,75,106,10,4,1,0.121,0.17,0.272,0.316,0.302,0.395,0.574,0.969,0.407,171,17.6
95,Lane Thomas,CLE,138,594,533,129,28,2,18,71,67,48,153,7,26,8,0.08199999999999999,0.257,0.164,0.303,0.242,0.312,0.406,0.718,0.313,105,179.0
96,Isaac Paredes,HOU,141,621,531,130,26,1,25,83,78,71,105,13,2,1,0.115,0.17,0.194,0.259,0.244,0.345,0.438,0.783,0.342,126,196.4
97,Yainer Diaz,HOU,135,564,530,148,28,2,21,67,78,25,100,5,2,1,0.044000000000000004,0.17800000000000002,0.179,0.309,0.28,0.316,0.459,0.775,0.332,119,58.3
98,Jake Burger,TEX,143,580,529,130,24,2,28,72,81,36,155,9,2,1,0.062,0.268,0.212,0.29,0.245,0.303,0.457,0.759,0.326,113,116.3
99,Cal Raleigh,SEA,137,595,527,118,23,1,30,72,82,59,164,4,4,1,0.099,0.275,0.216,0.26,0.223,0.304,0.439,0.744,0.32,116,87.6
100,TJ Friedl,CIN,131,594,525,131,22,4,19,79,63,52,103,11,18,5,0.087,0.174,0.168,0.275,0.249,0.327,0.417,0.744,0.325,102,253.9
101,Willson Contreras,STL,139,611,525,129,26,1,25,78,80,65,148,16,6,2,0.107,0.242,0.197,0.293,0.247,0.345,0.444,0.789,0.344,122,76.0
102,Jake Cronenworth,SDP,139,590,521,126,27,4,14,65,65,53,113,11,5,1,0.09,0.191,0.149,0.279,0.241,0.321,0.39,0.711,0.313,104,288.4
103,Trevor Story,BOS,141,578,520,116,28,1,16,61,60,47,166,6,22,6,0.08199999999999999,0.287,0.148,0.294,0.223,0.293,0.372,0.665,0.289,82,251.6
104,Josh Jung,TEX,136,561,519,129,24,3,22,63,70,32,154,6,6,2,0.057,0.27399999999999997,0.182,0.309,0.249,0.298,0.431,0.729,0.314,105,215.9
105,Jordan Westburg,BAL,134,570,518,137,29,4,20,70,77,40,126,7,8,3,0.07,0.222,0.19,0.309,0.264,0.322,0.453,0.776,0.335,122,90.1
106,Joey Ortiz,MIL,146,581,518,130,28,4,13,63,63,51,117,6,12,4,0.08900000000000001,0.20199999999999999,0.149,0.298,0.251,0.323,0.4,0.723,0.317,103,280.9
107,Maikel Garcia,KCR,138,569,517,135,27,4,8,66,53,43,100,2,29,7,0.076,0.17600000000000002,0.114,0.308,0.262,0.319,0.375,0.694,0.305,94,213.6
108,Victor Robles,SEA,128,577,517,128,28,2,10,70,47,42,126,12,36,8,0.07200000000000001,0.218,0.115,0.308,0.248,0.317,0.363,0.681,0.302,102,194.5
109,Daulton Varsho,TOR,138,577,517,116,23,4,22,68,71,50,143,5,13,4,0.087,0.247,0.187,0.264,0.224,0.297,0.411,0.708,0.307,101,341.8
110,Christian Yelich,MIL,133,600,516,137,25,3,18,83,66,74,130,5,23,5,0.124,0.217,0.162,0.321,0.266,0.361,0.428,0.789,0.343,120,120.6
111,Lourdes Gurriel Jr.,ARI,130,557,514,140,28,2,17,66,74,32,101,6,5,2,0.057999999999999996,0.182,0.162,0.307,0.272,0.32,0.434,0.754,0.326,107,222.4
112,Brandon Nimmo,NYM,134,595,514,129,25,3,18,77,69,67,130,10,7,2,0.11199999999999999,0.218,0.163,0.302,0.252,0.347,0.415,0.762,0.335,119,187.1
113,Eugenio Suárez,ARI,141,581,514,120,23,1,22,67,71,53,166,9,2,1,0.092,0.28600000000000003,0.182,0.298,0.234,0.315,0.416,0.731,0.319,103,180.1
114,Carlos Correa,MIN,130,582,510,136,28,2,19,77,68,62,114,5,1,0,0.106,0.196,0.177,0.306,0.267,0.349,0.443,0.792,0.343,125,242.5
115,Ronald Acuña Jr.,ATL,128,590,510,149,27,2,26,102,73,66,103,8,44,10,0.11199999999999999,0.175,0.217,0.319,0.292,0.379,0.509,0.888,0.382,146,32.0
116,Carlos Santana,CLE,136,580,509,120,23,1,21,66,72,62,105,4,3,1,0.107,0.182,0.169,0.257,0.236,0.321,0.406,0.727,0.318,109,348.8
117,J.P. Crawford,SEA,141,591,509,121,25,2,11,63,53,69,117,7,5,1,0.11599999999999999,0.19899999999999998,0.122,0.286,0.239,0.335,0.361,0.696,0.311,109,426.8
118,Willi Castro,MIN,139,568,509,124,25,4,12,61,57,41,133,13,18,6,0.07200000000000001,0.235,0.137,0.305,0.244,0.314,0.381,0.695,0.306,100,233.6
119,Josh Bell,WSN,134,574,508,127,23,1,20,66,70,57,113,5,1,0,0.099,0.19699999999999998,0.169,0.282,0.25,0.328,0.418,0.746,0.325,109,330.6
120,Jorge Soler,LAA,133,580,507,119,24,1,28,75,78,63,150,6,1,0,0.109,0.259,0.216,0.273,0.235,0.324,0.451,0.775,0.335,118,218.0
121,Tommy Edman,LAD,141,557,507,127,26,2,14,66,62,38,99,6,22,5,0.069,0.179,0.143,0.286,0.252,0.309,0.394,0.703,0.307,98,180.8
122,Royce Lewis,MIN,133,563,505,127,25,1,27,71,80,49,132,5,6,2,0.086,0.23399999999999999,0.213,0.287,0.252,0.321,0.465,0.786,0.338,122,129.3
123,Triston Casas,BOS,139,593,505,124,25,1,27,77,83,80,154,4,2,1,0.135,0.259,0.214,0.296,0.246,0.351,0.46,0.811,0.349,124,126.3
124,Corey Seager,TEX,126,572,503,142,28,1,29,87,80,58,97,5,3,1,0.102,0.17,0.229,0.298,0.283,0.361,0.513,0.873,0.369,144,48.3
125,Bryson Stott,PHI,139,560,502,130,24,3,13,66,61,48,94,4,25,6,0.085,0.16699999999999998,0.138,0.291,0.258,0.326,0.396,0.722,0.316,102,178.5
126,Ke'Bryan Hayes,PIT,136,550,502,129,26,3,12,59,58,39,109,4,14,4,0.07,0.198,0.133,0.304,0.257,0.314,0.39,0.703,0.307,94,342.2
127,Tyler Fitzgerald,SFG,136,549,501,114,24,3,18,59,62,36,166,7,18,5,0.066,0.301,0.166,0.3,0.229,0.288,0.395,0.682,0.297,92,241.5
128,Seiya Suzuki,CHC,130,569,500,129,24,4,21,72,74,59,144,5,12,5,0.10400000000000001,0.252,0.186,0.319,0.258,0.34,0.444,0.784,0.339,121,86.5
129,Cedric Mullins,BAL,130,555,500,122,23,3,18,67,66,45,113,5,28,7,0.081,0.204,0.164,0.28,0.244,0.311,0.408,0.719,0.313,107,212.5
130,Brice Turang,MIL,134,557,500,127,24,3,10,62,53,49,98,3,35,7,0.08900000000000001,0.17600000000000002,0.117,0.295,0.253,0.322,0.37,0.692,0.305,95,146.5
131,Nico Hoerner,CHC,130,551,499,138,27,2,8,63,52,38,62,9,26,6,0.07,0.113,0.108,0.301,0.277,0.337,0.385,0.721,0.317,106,198.7
132,Brandon Lowe,TBR,123,553,488,117,21,2,27,75,73,52,140,7,6,2,0.095,0.254,0.216,0.277,0.239,0.319,0.455,0.774,0.334,122,232.3
133,Josh Lowe,TBR,126,540,487,122,26,2,18,66,69,46,157,3,24,5,0.085,0.29100000000000004,0.176,0.33,0.251,0.317,0.427,0.744,0.321,114,153.4
134,Orlando Arcia,ATL,138,537,486,115,22,1,16,59,61,41,110,4,2,1,0.076,0.205,0.147,0.273,0.237,0.299,0.384,0.683,0.299,90,433.3
135,Jesús Sánchez,MIA,125,539,484,123,24,2,21,64,71,46,138,5,10,3,0.085,0.255,0.191,0.31,0.255,0.323,0.446,0.769,0.332,110,235.6
136,Luis García Jr.,WSN,125,518,482,134,26,2,16,59,63,29,79,2,15,5,0.055999999999999994,0.152,0.163,0.301,0.277,0.319,0.44,0.759,0.327,110,130.3
137,Rhys Hoskins,MIL,131,549,482,107,20,1,26,66,73,56,154,6,3,1,0.10300000000000001,0.28,0.206,0.266,0.223,0.309,0.429,0.738,0.321,105,282.0
138,Colt Keith,DET,126,534,481,126,23,4,17,61,64,44,105,4,5,2,0.08199999999999999,0.196,0.165,0.301,0.262,0.326,0.427,0.753,0.326,115,251.6
139,Michael Busch,CHC,128,548,481,114,25,2,19,65,68,57,151,5,3,1,0.10400000000000001,0.276,0.179,0.301,0.236,0.322,0.415,0.737,0.322,109,261.1
140,Mike Trout,LAA,120,551,477,120,20,3,30,83,71,61,148,7,10,2,0.111,0.268,0.243,0.297,0.251,0.343,0.494,0.836,0.357,133,123.1
141,Zach Neto,LAA,130,532,477,120,26,1,21,69,65,37,115,13,22,6,0.069,0.217,0.189,0.289,0.252,0.32,0.441,0.761,0.329,114,197.3
142,Jordan Walker,STL,131,524,476,121,26,2,16,58,62,38,117,6,7,2,0.07200000000000001,0.223,0.165,0.303,0.254,0.315,0.42,0.734,0.319,106,275.8
143,Michael Toglia,COL,131,536,474,107,19,3,25,63,68,55,160,3,8,2,0.102,0.299,0.21,0.283,0.227,0.309,0.437,0.746,0.322,93,196.5
144,Colton Cowser,BAL,130,541,471,113,21,2,20,66,66,58,157,8,9,3,0.107,0.29,0.179,0.313,0.241,0.331,0.42,0.751,0.328,117,169.1
145,Pete Crow-Armstrong,CHC,130,513,470,114,21,5,14,57,59,32,127,7,26,7,0.062,0.247,0.161,0.301,0.244,0.298,0.404,0.703,0.304,97,139.4
146,Jasson Domínguez,NYY,136,530,469,117,21,2,18,65,64,52,128,3,18,5,0.098,0.24100000000000002,0.169,0.303,0.25,0.327,0.42,0.746,0.325,112,146.2
147,Thairo Estrada,COL,120,506,469,124,22,2,15,57,59,24,96,9,12,4,0.048,0.191,0.153,0.303,0.265,0.311,0.418,0.729,0.316,89,302.7
148,Byron Buxton,MIN,118,517,466,111,24,2,25,65,73,38,148,8,8,2,0.07400000000000001,0.28600000000000003,0.225,0.288,0.237,0.305,0.462,0.766,0.328,115,240.0
149,Isiah Kiner-Falefa,PIT,128,503,465,122,19,3,7,52,47,26,80,7,14,3,0.052000000000000005,0.159,0.099,0.302,0.263,0.309,0.362,0.671,0.295,86,357.2
150,Jacob Young,WSN,134,513,465,117,23,2,5,55,44,34,96,8,29,6,0.066,0.188,0.092,0.305,0.252,0.312,0.344,0.656,0.291,86,295.9
151,Michael Massey,KCR,120,503,465,119,25,3,16,57,62,28,97,6,4,1,0.055999999999999994,0.193,0.169,0.289,0.255,0.303,0.424,0.727,0.314,100,384.7
152,Matt Wallner,MIN,120,537,464,108,24,2,23,72,61,54,181,13,5,1,0.10099999999999999,0.33799999999999997,0.207,0.322,0.232,0.327,0.438,0.766,0.333,119,270.1
153,Nolan Schanuel,LAA,128,535,459,118,20,1,15,63,56,64,89,7,7,2,0.11900000000000001,0.16699999999999998,0.143,0.289,0.258,0.355,0.401,0.755,0.334,117,316.7
154,Tyler Soderstrom,ATH,121,506,458,107,20,1,24,59,68,38,130,5,2,1,0.075,0.257,0.204,0.269,0.233,0.296,0.437,0.734,0.315,110,283.7
155,Ryan Mountcastle,BAL,123,500,457,118,22,1,19,59,65,35,119,3,3,1,0.069,0.23800000000000002,0.18,0.307,0.259,0.313,0.439,0.752,0.325,115,234.9
156,Shea Langeliers,ATH,119,504,455,105,19,2,26,61,72,40,136,5,4,1,0.079,0.27,0.221,0.265,0.23,0.296,0.451,0.747,0.32,113,124.8
157,Parker Meadows,DET,122,510,455,107,20,6,14,60,52,47,118,4,19,5,0.091,0.23,0.161,0.287,0.236,0.311,0.397,0.708,0.309,102,187.9
158,Yoán Moncada,LAA,120,506,454,109,22,2,13,54,54,44,142,4,3,1,0.086,0.28,0.141,0.316,0.239,0.308,0.38,0.688,0.302,94,454.5
159,Brayan Rocchio,CLE,134,512,452,110,25,1,10,57,51,48,92,6,13,4,0.095,0.18,0.129,0.283,0.244,0.324,0.374,0.697,0.308,102,451.0
