Rank,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP
3382,Drew Compton,ATL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.077,0.239,0.094,0.268,0.212,0.28,0.307,0.587,0.263,65,999.0
3383,Torin Montgomery,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.076,0.319,0.09,0.276,0.194,0.263,0.284,0.547,0.247,53,999.0
3384,Stephen Paolini,ATL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.079,0.35700000000000004,0.078,0.271,0.176,0.248,0.255,0.502,0.227,41,999.0
3385,Jesus Rodriguez,NYY,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.078,0.192,0.132,0.291,0.249,0.314,0.382,0.696,0.305,99,999.0
3386,Brady Policelli,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.077,0.278,0.123,0.258,0.199,0.268,0.322,0.591,0.263,67,999.0
3387,Kyle Kasser,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.079,0.182,0.081,0.28,0.233,0.299,0.314,0.613,0.274,75,999.0
3388,Alsander Womack,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.078,0.207,0.089,0.277,0.226,0.293,0.315,0.608,0.272,74,999.0
3389,T.J. Rumfield,NYY,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.077,0.21,0.149,0.271,0.234,0.3,0.383,0.683,0.299,94,999.0
3390,Tyler Neslony,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.08,0.253,0.128,0.291,0.228,0.295,0.357,0.651,0.287,84,999.0
3391,Damon Keith,LAD,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.079,0.325,0.155,0.294,0.215,0.283,0.37,0.653,0.286,84,999.0
3392,Andrés Alvarez,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.078,0.289,0.112,0.276,0.204,0.273,0.316,0.589,0.262,67,999.0
3393,Tim Lopes,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.08,0.289,0.116,0.285,0.211,0.279,0.327,0.607,0.27,72,999.0
3394,Armani Smith,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.079,0.304,0.121,0.298,0.217,0.285,0.339,0.623,0.276,77,999.0
3395,Ben Norman,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.078,0.345,0.141,0.286,0.202,0.271,0.343,0.614,0.271,73,999.0
