Rank,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP
3978,Nick Roth,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.14,4.58,1.34,1.41,0.275,1.61,0.299,0.6990000000000001,5.38,5.51,999.0
3979,Jack Patterson,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.38,6.05,1.05,1.18,0.269,1.73,0.299,0.71,5.31,5.62,999.0
3980,Cody Greenhill,WSN,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.4,5.62,1.14,1.35,0.266,1.67,0.292,0.7020000000000001,5.45,5.71,999.0
3981,Conor Steinbaugh,BOS,0,1,1.0,0,0,0,0,0,1,1,0,1,1,5.49,4.96,1.11,1.37,0.287,1.71,0.308,0.679,5.85,5.73,999.0
3982,Yohanse Morel,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.49,5.59,1.16,1.29,0.268,1.68,0.296,0.701,5.41,5.62,999.0
3983,Juan Burgos,SEA,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.55,4.76,1.38,1.32,0.261,1.55,0.288,0.71,5.0,5.37,999.0
3984,Shane Gray,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.21,5.05,1.23,1.4,0.271,1.64,0.294,0.6990000000000001,5.45,5.62,999.0
3985,Zack Matthews,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.43,5.8,1.11,1.24,0.27,1.71,0.3,0.7,5.45,5.62,999.0
3986,Xavier Meachem,MIA,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.9,5.98,1.16,1.29,0.265,1.7,0.297,0.7020000000000001,5.47,5.62,999.0
3987,Brandon Beckel,PHI,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.17,5.11,1.21,1.51,0.272,1.65,0.293,0.695,5.63,5.83,999.0
3988,Bayden Root,MIL,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.45,5.76,1.12,1.28,0.27,1.71,0.299,0.703,5.44,5.66,999.0
3989,Steven Fulgencio,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,5.63,5.8,0.97,1.12,0.278,1.75,0.305,0.6970000000000001,5.43,5.63,999.0
3990,Layonel Ovalles,NYM,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.48,5.18,1.25,1.33,0.264,1.62,0.29,0.706,5.22,5.53,999.0
