Rank,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP
1,Logan Webb,SFG,32,32,201.0,12,11,21,0,0,201,77,17,175,45,7.82,2.02,3.87,0.75,0.255,1.22,0.308,0.723,3.43,3.29,100.2
2,Logan Gilbert,SEA,32,32,198.2,12,11,20,0,0,176,76,25,208,43,9.42,1.95,4.83,1.14,0.232,1.1,0.288,0.745,3.43,3.46,26.0
3,Zack Wheeler,PHI,32,32,198.2,13,9,21,0,0,171,73,23,212,51,9.63,2.31,4.17,1.04,0.228,1.12,0.288,0.748,3.33,3.43,21.0
4,Tarik Skubal,DET,32,32,196.1,13,9,22,0,0,160,64,20,228,45,10.48,2.06,5.08,0.92,0.218,1.05,0.289,0.763,2.93,2.98,13.9
5,Kevin Gausman,TOR,32,32,193.1,12,11,18,0,0,183,84,26,192,55,8.96,2.54,3.53,1.19,0.243,1.23,0.294,0.728,3.92,3.82,171.1
6,Pablo López,MIN,32,32,193.0,12,11,19,0,0,177,78,24,203,48,9.44,2.23,4.22,1.11,0.239,1.17,0.298,0.7340000000000001,3.63,3.55,67.0
7,José Berríos,TOR,32,32,191.1,11,12,16,0,0,194,92,28,166,53,7.81,2.51,3.11,1.31,0.257,1.29,0.296,0.7140000000000001,4.31,4.32,238.1
8,Seth Lugo,KCR,31,31,190.1,11,11,17,0,0,194,88,23,166,54,7.83,2.53,3.09,1.11,0.259,1.3,0.305,0.711,4.15,3.99,188.7
9,Corbin Burnes,ARI,31,31,190.0,12,10,18,0,0,178,78,20,193,54,9.13,2.54,3.6,0.95,0.243,1.22,0.304,0.722,3.69,3.47,38.0
10,Dylan Cease,SDP,32,32,189.0,13,10,18,0,0,155,73,22,224,70,10.68,3.36,3.18,1.07,0.218,1.19,0.285,0.754,3.48,3.55,47.1
11,Gerrit Cole,NYY,31,31,189.0,12,10,17,0,0,175,84,29,197,53,9.37,2.53,3.7,1.37,0.238,1.21,0.287,0.735,3.99,4.02,59.8
12,Sandy Alcantara,MIA,29,29,188.2,10,11,18,0,0,187,80,21,170,48,8.11,2.27,3.58,1.0,0.254,1.24,0.305,0.718,3.81,3.69,163.5
13,Paul Skenes,PIT,31,31,188.0,13,9,21,0,0,147,59,16,241,55,11.55,2.64,4.37,0.75,0.212,1.08,0.3,0.762,2.8,2.68,11.3
14,Aaron Nola,PHI,31,31,187.2,12,10,17,0,0,179,80,26,185,45,8.88,2.15,4.13,1.27,0.245,1.19,0.293,0.733,3.85,3.84,86.3
15,Chris Sale,ATL,31,31,186.2,14,8,20,0,0,153,64,19,230,47,11.09,2.27,4.88,0.94,0.219,1.07,0.297,0.755,3.07,2.96,37.2
16,Sonny Gray,STL,31,31,184.2,12,10,19,0,0,164,70,20,197,51,9.61,2.5,3.85,0.96,0.233,1.17,0.296,0.74,3.41,3.36,110.6
17,Framber Valdez,HOU,29,29,184.2,12,9,19,0,0,173,70,16,177,59,8.62,2.88,2.99,0.76,0.247,1.26,0.31,0.733,3.43,3.45,61.3
18,Luis Castillo,SEA,31,31,184.1,11,11,18,0,0,166,74,24,187,52,9.14,2.55,3.59,1.16,0.235,1.18,0.286,0.743,3.64,3.77,95.4
19,Luis Severino,ATH,31,31,182.2,10,11,15,0,0,180,86,26,159,61,7.84,3.01,2.61,1.26,0.253,1.32,0.294,0.72,4.25,4.39,309.1
20,Cole Ragans,KCR,31,31,182.2,12,10,18,0,0,156,71,19,207,69,10.2,3.39,3.01,0.95,0.227,1.23,0.296,0.747,3.51,3.51,49.0
21,Mitch Keller,PIT,31,31,182.0,10,12,15,0,0,180,86,23,164,57,8.12,2.82,2.88,1.11,0.254,1.3,0.302,0.703,4.25,4.09,298.1
22,George Kirby,SEA,31,31,180.1,11,10,17,0,0,169,70,23,171,27,8.53,1.37,6.24,1.16,0.241,1.09,0.288,0.732,3.52,3.52,45.6
23,Tanner Houck,BOS,29,40,179.2,11,10,15,0,1,182,80,18,160,55,8.0,2.74,2.92,0.9,0.26,1.32,0.313,0.708,3.98,3.79,223.1
24,Shota Imanaga,CHC,29,29,179.2,11,9,18,0,0,167,73,26,182,38,9.13,1.91,4.78,1.3,0.239,1.14,0.288,0.75,3.65,3.74,76.6
25,Michael King,SDP,31,31,179.2,12,10,17,0,0,157,73,22,191,64,9.59,3.22,2.98,1.09,0.23,1.23,0.288,0.746,3.65,3.81,62.8
26,Chris Bassitt,TOR,31,31,179.0,11,11,15,0,0,173,82,23,164,60,8.24,3.03,2.72,1.15,0.249,1.3,0.295,0.7170000000000001,4.14,4.19,339.4
27,Reynaldo López,ATL,31,31,179.0,12,9,16,0,0,164,78,22,189,61,9.53,3.07,3.11,1.12,0.238,1.26,0.298,0.728,3.91,3.78,165.8
28,Miles Mikolas,STL,31,31,178.2,10,11,15,0,0,192,85,26,128,34,6.47,1.7,3.81,1.33,0.269,1.26,0.296,0.708,4.29,4.32,594.2
29,Freddy Peralta,MIL,31,31,178.0,11,10,16,0,0,151,74,24,205,63,10.39,3.19,3.26,1.22,0.224,1.2,0.286,0.743,3.77,3.82,98.1
30,JP Sears,ATH,31,31,177.2,9,12,13,0,0,180,91,30,145,52,7.32,2.65,2.77,1.52,0.257,1.31,0.286,0.711,4.62,4.8,495.2
31,Ryan Feltner,COL,31,31,177.1,9,13,12,0,0,189,96,27,154,62,7.79,3.14,2.48,1.35,0.27,1.42,0.312,0.6920000000000001,4.89,4.56,679.3
32,Yusei Kikuchi,LAA,31,31,176.0,11,10,16,0,0,157,74,25,196,55,10.01,2.79,3.58,1.27,0.235,1.2,0.295,0.747,3.77,3.82,159.5
33,Nathan Eovaldi,TEX,29,29,176.0,11,10,16,0,0,168,74,22,171,47,8.74,2.4,3.65,1.12,0.247,1.22,0.3,0.7290000000000001,3.79,3.75,201.2
34,Carlos Rodón,NYY,31,31,176.0,11,10,15,0,0,155,78,27,199,54,10.2,2.77,3.68,1.38,0.229,1.19,0.285,0.738,3.97,3.95,131.1
35,Zach Eflin,BAL,29,29,176.0,11,10,16,0,0,180,76,25,148,31,7.59,1.57,4.84,1.27,0.259,1.2,0.298,0.726,3.91,3.93,189.9
36,Bryce Miller,SEA,31,31,174.2,10,11,15,0,0,163,76,25,168,47,8.64,2.41,3.58,1.3,0.241,1.2,0.285,0.736,3.9,4.05,79.0
37,MacKenzie Gore,WSN,31,31,174.1,11,11,16,0,0,152,73,22,188,65,9.69,3.36,2.89,1.11,0.23,1.24,0.288,0.741,3.74,3.87,204.3
38,Tanner Bibee,CLE,29,29,173.1,10,10,16,0,0,160,74,24,178,49,9.25,2.52,3.67,1.27,0.238,1.2,0.289,0.737,3.86,3.91,88.1
39,Max Fried,NYY,29,29,173.0,12,9,17,0,0,165,66,18,164,48,8.55,2.51,3.41,0.92,0.246,1.23,0.302,0.745,3.42,3.54,98.9
40,Hunter Greene,CIN,29,29,172.0,10,10,15,0,0,149,80,27,205,63,10.72,3.28,3.27,1.43,0.228,1.23,0.288,0.731,4.17,4.14,96.0
41,Spencer Schwellenbach,ATL,29,29,172.0,12,9,16,0,0,165,72,21,166,43,8.69,2.24,3.89,1.11,0.247,1.21,0.3,0.725,3.79,3.72,83.5
42,Tyler Anderson,LAA,29,29,171.1,9,12,13,0,0,177,90,28,136,63,7.14,3.31,2.15,1.45,0.26,1.4,0.289,0.713,4.75,4.91,497.4
43,Bailey Ober,MIN,29,29,171.0,10,10,15,0,0,161,77,27,176,42,9.26,2.22,4.17,1.43,0.241,1.19,0.288,0.7340000000000001,4.04,4.03,81.3
44,Zac Gallen,ARI,29,29,170.2,11,9,15,0,0,164,74,20,172,53,9.06,2.78,3.25,1.05,0.247,1.27,0.305,0.721,3.92,3.71,121.4
45,Taj Bradley,TBR,29,29,170.1,10,10,15,0,0,157,77,25,179,57,9.46,3.01,3.14,1.34,0.24,1.26,0.292,0.736,4.06,4.1,193.2
46,Brady Singer,CIN,29,29,170.1,10,10,14,0,0,174,80,25,161,48,8.49,2.56,3.31,1.31,0.258,1.3,0.306,0.721,4.25,4.18,342.9
47,Garrett Crochet,BOS,31,31,170.0,12,8,17,0,0,133,58,17,220,52,11.66,2.73,4.27,0.88,0.213,1.09,0.3,0.7559999999999999,3.04,2.87,24.9
48,Blake Snell,LAD,29,29,170.0,12,8,16,0,0,134,66,21,221,73,11.69,3.87,3.02,1.09,0.212,1.22,0.29,0.76,3.51,3.53,44.9
49,Justin Steele,CHC,29,29,170.0,11,9,16,0,0,158,67,19,166,48,8.78,2.52,3.48,1.0,0.243,1.21,0.299,0.737,3.57,3.62,120.8
50,Cristopher Sánchez,PHI,29,29,169.2,11,9,16,0,0,164,66,17,149,48,7.89,2.52,3.12,0.88,0.251,1.25,0.302,0.737,3.48,3.63,172.9
51,Jack Flaherty,DET,29,29,169.2,10,10,16,0,0,154,70,21,178,53,9.46,2.81,3.37,1.12,0.235,1.22,0.292,0.736,3.74,3.76,136.5
52,Jake Irvin,WSN,29,29,169.0,9,11,14,0,0,168,81,24,141,54,7.51,2.9,2.59,1.29,0.256,1.32,0.293,0.7170000000000001,4.33,4.46,428.2
53,Yu Darvish,SDP,29,29,167.2,10,10,14,0,0,158,78,25,160,47,8.59,2.51,3.42,1.35,0.244,1.22,0.288,0.718,4.16,4.19,232.2
54,Jameson Taillon,CHC,29,29,167.2,9,11,13,0,0,175,83,26,135,40,7.24,2.17,3.33,1.4,0.263,1.28,0.296,0.706,4.47,4.39,354.0
55,Hunter Brown,HOU,29,29,167.2,11,9,15,0,0,153,69,18,175,58,9.38,3.11,3.02,0.99,0.239,1.26,0.301,0.731,3.7,3.66,98.0
56,Brayan Bello,BOS,29,29,167.1,10,10,14,0,0,168,76,18,153,59,8.22,3.15,2.61,0.95,0.258,1.35,0.313,0.7120000000000001,4.08,3.9,336.2
57,Ranger Suárez,PHI,28,40,167.0,11,9,14,0,1,159,67,18,151,53,8.13,2.85,2.85,0.94,0.247,1.27,0.298,0.7390000000000001,3.6,3.77,263.3
58,Erick Fedde,STL,29,29,167.0,10,10,14,0,0,166,78,23,143,52,7.72,2.81,2.75,1.24,0.254,1.31,0.294,0.72,4.21,4.27,322.8
59,Jared Jones,PIT,28,36,167.0,10,10,14,0,1,152,73,21,172,57,9.27,3.09,3.0,1.13,0.238,1.26,0.294,0.7290000000000001,3.91,3.91,142.6
60,Germán Márquez,COL,28,28,164.2,8,11,12,0,0,179,87,24,138,54,7.54,2.96,2.55,1.31,0.274,1.42,0.316,0.701,4.75,4.47,655.3
61,Ryan Pepiot,TBR,29,29,164.2,10,10,13,0,0,150,76,25,173,60,9.44,3.29,2.87,1.35,0.237,1.27,0.288,0.73,4.18,4.27,168.5
62,Kodai Senga,NYM,26,34,163.1,11,9,14,0,1,143,69,20,177,66,9.75,3.63,2.68,1.08,0.23,1.28,0.29,0.74,3.78,3.89,151.7
63,Grayson Rodriguez,BAL,28,28,162.1,11,9,15,0,0,146,67,20,173,53,9.58,2.93,3.26,1.13,0.236,1.23,0.295,0.7440000000000001,3.69,3.76,102.7
64,Sean Manaea,NYM,28,28,162.1,10,9,14,0,0,149,73,23,163,57,9.03,3.17,2.85,1.26,0.239,1.27,0.288,0.733,4.04,4.18,195.1
65,Jonathan Cannon,CHW,26,32,162.0,7,12,12,0,1,172,86,26,122,57,6.75,3.18,2.12,1.43,0.268,1.42,0.295,0.708,4.79,4.92,690.0
66,Jesús Luzardo,PHI,26,41,161.1,10,9,12,0,1,147,71,23,166,55,9.27,3.07,3.02,1.3,0.237,1.25,0.287,0.7440000000000001,3.94,4.12,249.5
67,Robbie Ray,SFG,28,28,160.2,10,10,14,0,0,143,70,23,173,51,9.72,2.86,3.4,1.28,0.232,1.21,0.285,0.735,3.91,3.93,158.4
68,Joe Ryan,MIN,28,28,159.2,10,9,15,0,0,141,67,24,177,37,9.99,2.08,4.8,1.34,0.23,1.11,0.285,0.738,3.77,3.71,92.9
69,Ronel Blanco,HOU,28,28,159.2,9,10,13,0,0,150,77,23,157,66,8.88,3.74,2.37,1.31,0.244,1.36,0.292,0.725,4.37,4.43,246.8
70,Michael Wacha,KCR,28,28,159.1,9,10,13,0,0,159,76,22,138,47,7.82,2.66,2.94,1.25,0.255,1.29,0.296,0.7120000000000001,4.28,4.22,278.3
71,Bowden Francis,TOR,26,36,159.0,9,10,12,0,1,154,77,26,147,44,8.31,2.49,3.34,1.47,0.247,1.25,0.284,0.7190000000000001,4.34,4.43,241.0
72,Shane McClanahan,TBR,26,34,159.0,10,8,15,0,1,140,61,19,175,46,9.88,2.63,3.76,1.06,0.233,1.17,0.297,0.7509999999999999,3.44,3.46,120.2
73,Yoshinobu Yamamoto,LAD,28,28,158.2,11,8,15,0,0,144,63,19,167,43,9.46,2.46,3.85,1.08,0.238,1.18,0.298,0.7390000000000001,3.58,3.54,58.2
74,Brandon Woodruff,MIL,26,26,156.2,10,9,15,0,0,141,66,22,167,42,9.59,2.4,4.0,1.25,0.235,1.17,0.29,0.737,3.77,3.77,240.0
75,Charlie Morton,BAL,28,28,156.1,10,9,13,0,0,148,73,21,156,61,8.98,3.52,2.55,1.19,0.246,1.34,0.299,0.7240000000000001,4.19,4.28,405.1
76,Kyle Freeland,COL,28,28,155.2,7,12,10,0,0,180,89,26,115,42,6.65,2.44,2.73,1.53,0.284,1.42,0.312,0.6890000000000001,5.13,4.82,750.1
77,Mitchell Parker,WSN,26,36,155.1,9,10,11,0,1,151,74,22,136,57,7.9,3.29,2.4,1.3,0.249,1.33,0.287,0.73,4.26,4.47,487.3
78,Clay Holmes,NYM,23,49,155.1,10,8,12,0,1,146,61,12,145,63,8.41,3.62,2.32,0.71,0.245,1.34,0.305,0.7340000000000001,3.55,3.69,279.0
79,Walker Buehler,BOS,26,40,154.1,9,10,10,0,1,162,79,21,131,52,7.62,3.0,2.54,1.22,0.265,1.38,0.307,0.6990000000000001,4.59,4.35,266.0
80,Andre Pallante,STL,24,41,154.1,9,9,11,0,1,159,69,13,114,62,6.64,3.64,1.82,0.77,0.266,1.44,0.31,0.716,4.02,4.12,492.2
81,Jeffrey Springs,ATH,26,34,154.0,9,9,13,0,1,144,66,21,149,43,8.69,2.54,3.42,1.25,0.242,1.22,0.289,0.741,3.83,3.98,267.1
82,Nick Pivetta,SDP,28,28,152.2,10,9,13,0,0,132,66,23,175,50,10.32,2.93,3.52,1.35,0.227,1.19,0.285,0.745,3.88,3.9,193.1
83,David Peterson,NYM,26,32,152.2,10,8,13,0,1,145,63,16,140,59,8.28,3.47,2.39,0.97,0.247,1.34,0.298,0.7440000000000001,3.72,4.03,364.3
84,Nick Martinez,CIN,23,49,152.2,8,10,9,0,1,160,77,25,130,42,7.67,2.46,3.11,1.46,0.263,1.32,0.299,0.711,4.56,4.51,335.7
85,Merrill Kelly,ARI,26,26,152.1,9,9,13,0,0,152,71,20,141,50,8.32,2.93,2.84,1.16,0.254,1.32,0.303,0.7190000000000001,4.19,4.06,304.5
86,Michael Lorenzen,KCR,21,56,152.1,8,10,8,0,1,159,79,20,121,62,7.17,3.68,1.95,1.15,0.264,1.45,0.302,0.7040000000000001,4.65,4.58,538.0
87,Jacob deGrom,TEX,26,26,152.0,11,7,17,0,0,116,49,17,206,30,12.2,1.78,6.85,1.02,0.205,0.96,0.288,0.7659999999999999,2.88,2.62,44.8
88,Ryan Weathers,MIA,26,32,151.2,8,10,12,0,1,150,70,20,135,55,8.0,3.26,2.45,1.21,0.253,1.35,0.297,0.7290000000000001,4.18,4.35,356.9
89,Shane Baz,TBR,24,36,149.2,8,10,10,0,1,146,74,23,140,55,8.43,3.33,2.53,1.36,0.251,1.34,0.294,0.72,4.44,4.51,188.7
90,Clarke Schmidt,NYY,24,41,149.0,9,9,10,0,1,140,67,21,145,49,8.76,2.97,2.95,1.25,0.244,1.27,0.291,0.733,4.03,4.19,227.4
91,Aaron Civale,MIL,24,39,149.0,8,10,10,0,1,148,72,24,143,43,8.65,2.62,3.31,1.44,0.25,1.28,0.293,0.723,4.35,4.34,365.0
92,José Soriano,LAA,26,26,148.1,9,9,13,0,0,140,64,15,144,62,8.77,3.78,2.32,0.94,0.247,1.37,0.307,0.7290000000000001,3.91,4.01,330.9
93,Tyler Mahle,TEX,26,26,147.2,9,9,12,0,0,145,71,23,138,46,8.41,2.79,3.01,1.38,0.251,1.29,0.293,0.721,4.35,4.35,445.8
94,Cal Quantrill,MIA,26,26,146.1,7,11,10,0,0,157,79,21,110,53,6.74,3.27,2.06,1.29,0.268,1.43,0.299,0.695,4.84,4.78,693.0
95,Gavin Williams,CLE,26,26,146.1,9,9,12,0,0,135,67,20,149,55,9.15,3.36,2.72,1.2,0.24,1.3,0.293,0.727,4.1,4.12,241.7
96,Jon Gray,TEX,24,37,145.2,9,9,10,0,1,144,69,21,133,45,8.21,2.75,2.98,1.29,0.253,1.3,0.297,0.718,4.26,4.24,431.9
97,Max Meyer,MIA,24,34,145.1,8,10,11,0,1,146,68,19,128,49,7.94,3.01,2.64,1.16,0.256,1.34,0.301,0.715,4.24,4.2,413.9
98,Tobias Myers,MIL,23,42,145.0,8,9,9,0,1,144,70,23,132,44,8.19,2.74,2.99,1.43,0.252,1.3,0.29,0.723,4.36,4.44,320.6
99,Eduardo Rodriguez,ARI,24,32,144.1,9,8,11,0,1,142,64,18,133,45,8.32,2.83,2.94,1.11,0.253,1.3,0.302,0.725,4.02,3.96,406.3
100,Reese Olson,DET,26,26,144.0,9,9,12,0,0,138,62,16,132,46,8.24,2.86,2.88,1.02,0.247,1.28,0.296,0.723,3.87,3.88,257.9
101,Tyler Glasnow,LAD,24,24,143.2,11,6,15,0,0,117,51,16,178,41,11.16,2.55,4.38,1.01,0.218,1.1,0.295,0.752,3.22,3.07,97.9
102,Bryan Woo,SEA,26,26,143.2,9,9,12,0,0,135,62,20,135,34,8.49,2.11,4.01,1.28,0.242,1.17,0.285,0.7290000000000001,3.86,3.97,134.8
103,Antonio Senzatela,COL,23,42,143.1,7,10,7,0,1,170,81,21,92,39,5.8,2.44,2.38,1.34,0.292,1.46,0.317,0.6809999999999999,5.09,4.76,999.0
104,Austin Gomber,COL,26,26,143.0,7,11,8,0,0,167,84,26,102,40,6.43,2.51,2.56,1.62,0.286,1.44,0.31,0.688,5.28,5.0,744.8
105,Nestor Cortes,MIL,21,44,142.0,8,8,10,0,1,131,63,22,144,39,9.13,2.45,3.73,1.41,0.237,1.19,0.282,0.743,3.97,4.09,269.7
106,Luis L. Ortiz,CLE,23,38,142.0,7,10,9,0,1,147,73,20,119,53,7.55,3.35,2.25,1.26,0.262,1.41,0.301,0.7070000000000001,4.61,4.57,368.2
107,Justin Verlander,SFG,24,24,141.1,8,9,12,0,0,140,66,21,120,35,7.63,2.22,3.43,1.32,0.25,1.24,0.285,0.713,4.21,4.25,357.4
108,Spencer Arrighetti,HOU,26,26,141.1,9,9,10,0,0,130,69,21,144,61,9.16,3.89,2.35,1.31,0.24,1.35,0.29,0.722,4.4,4.47,203.6
109,Martín Pérez,CHW,24,24,139.2,7,10,10,0,0,150,72,20,103,51,6.67,3.32,2.01,1.32,0.269,1.44,0.299,0.7140000000000001,4.66,4.82,709.6
110,Jordan Hicks,SFG,23,40,139.0,8,9,9,0,1,134,63,14,126,59,8.15,3.8,2.15,0.91,0.25,1.38,0.303,0.718,4.06,4.11,439.8
111,Roki Sasaki,LAD,24,24,138.2,10,6,14,0,0,110,51,16,179,43,11.63,2.83,4.12,1.07,0.214,1.11,0.293,0.7559999999999999,3.3,3.21,97.5
112,Nick Lodolo,CIN,24,24,138.1,9,8,12,0,0,126,60,19,151,44,9.84,2.87,3.43,1.21,0.239,1.23,0.3,0.7290000000000001,3.92,3.94,241.9
113,Javier Assad,CHC,21,45,138.0,8,9,8,0,1,139,68,19,117,52,7.63,3.41,2.24,1.23,0.257,1.39,0.297,0.716,4.43,4.5,624.2
114,Simeon Woods Richardson,MIN,26,26,137.2,8,10,9,0,0,141,72,21,116,51,7.59,3.35,2.27,1.38,0.259,1.39,0.294,0.708,4.71,4.69,514.1
115,Lucas Giolito,BOS,23,33,137.2,8,9,10,0,1,134,68,21,136,48,8.91,3.15,2.83,1.35,0.25,1.32,0.298,0.7140000000000001,4.44,4.29,370.6
116,Brandon Pfaadt,ARI,23,33,137.1,9,8,11,0,1,133,61,19,134,33,8.78,2.19,4.02,1.24,0.248,1.21,0.298,0.722,3.98,3.84,172.3
117,Davis Martin,CHW,24,24,137.0,7,10,10,0,0,138,69,21,117,50,7.66,3.26,2.35,1.37,0.258,1.37,0.294,0.716,4.55,4.67,659.0
118,Sean Burke,CHW,23,31,136.2,7,10,9,0,1,133,72,22,125,61,8.25,4.02,2.05,1.45,0.25,1.42,0.288,0.7190000000000001,4.72,4.89,409.4
119,Marcus Stroman,NYY,21,42,136.1,8,9,8,0,1,145,67,18,104,46,6.86,3.06,2.24,1.19,0.267,1.4,0.302,0.7120000000000001,4.45,4.5,568.6
120,Kumar Rocker,TEX,23,33,136.1,9,8,11,0,1,127,58,17,138,42,9.13,2.78,3.29,1.12,0.243,1.24,0.299,0.73,3.85,3.8,278.6
121,Ben Lively,CLE,24,24,136.0,7,10,9,0,0,146,72,22,107,43,7.09,2.83,2.5,1.44,0.268,1.39,0.299,0.703,4.79,4.74,528.0
122,Jose Quintana,MIL,24,24,135.2,8,9,10,0,0,139,65,18,114,50,7.56,3.31,2.28,1.18,0.259,1.39,0.299,0.72,4.34,4.42,540.1
123,Andrew Abbott,CIN,24,24,135.1,8,9,10,0,0,134,70,24,131,49,8.73,3.27,2.67,1.6,0.252,1.35,0.291,0.726,4.67,4.73,510.3
124,Zack Littell,TBR,23,33,135.1,8,9,9,0,1,142,68,23,114,33,7.57,2.2,3.44,1.53,0.263,1.29,0.296,0.713,4.55,4.54,402.4
125,Dean Kremer,BAL,24,24,135.0,8,9,10,0,0,136,67,21,119,45,7.92,3.02,2.62,1.39,0.256,1.34,0.294,0.721,4.45,4.53,432.6
126,Kyle Gibson,,23,23,134.2,8,8,11,0,0,137,64,18,114,46,7.65,3.08,2.48,1.17,0.259,1.36,0.301,0.72,4.26,4.3,661.9
127,Kyle Harrison,SFG,24,24,133.0,8,8,11,0,0,122,59,17,136,49,9.2,3.33,2.76,1.17,0.237,1.28,0.29,0.73,4.01,4.08,368.0
128,Kutter Crawford,BOS,18,53,133.0,8,8,7,0,1,128,64,21,131,37,8.86,2.53,3.51,1.41,0.248,1.25,0.294,0.716,4.32,4.2,337.9
129,Andrew Heaney,PIT,23,35,132.1,8,9,9,0,1,129,63,19,123,41,8.36,2.81,2.97,1.27,0.251,1.29,0.296,0.715,4.28,4.25,462.4
130,Matthew Boyd,CHC,23,31,132.0,8,8,10,0,1,121,58,18,131,43,8.95,2.97,3.02,1.24,0.239,1.25,0.288,0.737,3.94,4.1,313.3
131,Kyle Hendricks,LAA,24,24,131.2,7,9,8,0,0,146,72,22,93,38,6.32,2.58,2.45,1.52,0.275,1.4,0.297,0.7020000000000001,4.89,4.94,706.0
132,Edward Cabrera,MIA,23,35,131.2,7,9,9,0,1,117,59,15,142,62,9.74,4.22,2.31,1.03,0.235,1.36,0.299,0.727,4.05,4.05,388.6
133,Tomoyuki Sugano,BAL,23,23,129.1,7,8,9,0,1,141,67,22,96,28,6.65,1.97,3.37,1.52,0.272,1.31,0.298,0.7020000000000001,4.69,4.67,352.1
134,Chris Paddack,MIN,16,55,128.2,7,8,7,0,1,128,59,18,118,31,8.23,2.15,3.83,1.3,0.254,1.24,0.298,0.7190000000000001,4.13,4.02,554.9
135,Drew Rasmussen,TBR,19,43,128.0,8,7,9,0,1,123,53,15,122,33,8.6,2.34,3.67,1.05,0.248,1.22,0.302,0.73,3.71,3.64,238.2
136,Bailey Falter,PIT,19,43,127.2,7,9,7,0,1,134,65,20,97,38,6.83,2.67,2.56,1.38,0.265,1.35,0.294,0.708,4.6,4.62,707.0
137,Max Scherzer,TOR,21,27,124.1,8,7,10,0,1,113,54,19,131,31,9.49,2.22,4.28,1.37,0.235,1.15,0.284,0.733,3.91,3.91,296.6
138,Rhett Lowder,CIN,18,42,124.1,7,8,7,0,1,130,63,18,102,40,7.37,2.88,2.56,1.34,0.265,1.37,0.302,0.71,4.54,4.55,486.6
139,Casey Mize,DET,23,23,123.2,7,8,10,0,0,126,57,16,100,35,7.29,2.53,2.89,1.14,0.258,1.3,0.296,0.7120000000000001,4.15,4.17,457.2
140,Luis Garcia,HOU,19,33,123.1,7,7,9,0,1,117,58,18,120,39,8.8,2.82,3.12,1.35,0.244,1.26,0.29,0.7240000000000001,4.21,4.2,476.0
141,Kris Bubic,KCR,18,42,123.0,7,7,8,0,1,122,56,15,112,44,8.17,3.22,2.54,1.08,0.255,1.35,0.304,0.722,4.12,4.1,349.1
142,Jackson Jobe,DET,19,31,122.2,6,8,8,0,1,124,63,18,95,46,6.95,3.34,2.08,1.35,0.256,1.38,0.285,0.708,4.64,4.81,265.4
143,Triston McKenzie,CLE,18,42,121.2,6,8,6,0,1,119,65,20,115,52,8.5,3.87,2.2,1.5,0.25,1.41,0.29,0.716,4.81,4.84,520.0
144,DJ Herz,WSN,19,36,121.1,7,8,8,0,1,103,54,16,131,59,9.73,4.37,2.23,1.2,0.225,1.33,0.279,0.745,4.01,4.34,321.0
145,Steven Matz,STL,18,42,121.0,7,7,8,0,1,117,53,15,107,34,7.95,2.56,3.11,1.13,0.25,1.25,0.294,0.725,3.92,4.01,642.4
146,Lance Lynn,,21,21,121.0,7,8,10,0,0,118,59,19,113,39,8.39,2.87,2.92,1.39,0.25,1.3,0.291,0.718,4.38,4.39,600.3
147,Shohei Ohtani,LAD,21,21,120.2,9,6,12,0,0,102,47,15,141,39,10.51,2.88,3.65,1.11,0.224,1.16,0.291,0.75,3.49,3.53,1.6
148,Colin Rea,CHC,19,31,120.0,7,8,8,0,1,126,61,19,97,34,7.31,2.56,2.86,1.4,0.263,1.33,0.297,0.703,4.61,4.55,599.4
149,Luis Gil,NYY,19,32,120.0,7,7,8,0,1,104,56,18,133,56,10.01,4.19,2.39,1.34,0.228,1.33,0.283,0.74,4.21,4.41,213.4
150,Mitch Spence,ATH,19,31,119.2,7,8,8,0,1,124,57,16,92,36,6.93,2.73,2.54,1.2,0.264,1.34,0.298,0.711,4.33,4.4,574.3
151,Paul Blackburn,NYM,16,46,119.1,7,7,7,0,1,121,55,16,102,34,7.7,2.6,2.97,1.23,0.256,1.3,0.296,0.722,4.15,4.21,643.8
152,Spencer Strider,ATL,21,21,119.1,9,5,12,0,0,92,42,13,158,39,11.9,2.93,4.07,1.0,0.209,1.1,0.293,0.758,3.2,3.05,113.0
153,Jack Leiter,TEX,18,39,118.1,7,7,7,0,1,111,59,18,118,50,8.96,3.83,2.34,1.35,0.243,1.37,0.289,0.721,4.48,4.56,538.0
154,Hayden Birdsong,SFG,18,40,117.1,7,7,7,0,1,105,52,14,125,51,9.59,3.94,2.44,1.1,0.233,1.33,0.292,0.731,4.01,4.08,411.0
155,Michael Soroka,WSN,15,52,117.1,6,7,6,0,1,111,56,16,109,46,8.38,3.54,2.37,1.2,0.246,1.34,0.292,0.72,4.26,4.38,510.0
156,Trevor Williams,WSN,15,53,116.0,6,8,5,0,1,120,57,18,94,34,7.29,2.65,2.75,1.39,0.26,1.32,0.292,0.716,4.45,4.55,524.7
157,Jordan Montgomery,ARI,16,42,115.2,7,7,7,0,1,122,54,14,91,33,7.07,2.56,2.76,1.08,0.266,1.34,0.305,0.711,4.21,4.11,447.1
158,Reid Detmers,LAA,18,36,115.1,7,7,8,0,1,102,50,16,127,40,9.93,3.12,3.18,1.26,0.232,1.23,0.29,0.7390000000000001,3.91,3.97,360.1
